,City,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
87,sicamous,-25.17,45.05,64.2,87,5,3.78,MG,1596650902
88,lagoa,34.17,77.58,66.79,25,2,4.85,IN,1596650902
89,busselton,38.73,-27.07,77,69,75,13.58,PT,1596650902
90,mulanje,42.6,-73.97,82.99,38,2,3,US,1596650903
91,prince rupert,65.61,-37.64,44.6,87,75,10.29,GL,1596650903
92,xingyi,-35.33,-72.42,55.65,75,39,11.92,CL,1596650903
93,mar del plata,-9.45,124.48,67.24,83,84,1.83,ID,1596650903
94,taolanaro,49.82,-94.43,73.4,46,20,10.29,CA,1596650904
95,jamestown,37.47,49.46,68,100,90,6.93,IR,1596650904
96,seoul,-3.75,-73.25,91.4,52,40,5.82,PE,1596650904
97,nikolskoye,-20.74,116.85,65.19,42,55,17.83,AU,1596650905
98,hobart,24.09,32.91,100.09,17,5,1.68,EG,1596650636
99,beloha,73.51,80.55,46.62,90,93,17.07,RU,1596650905
100,leh,-17.71,-39.25,73.29,68,33,11.03,BR,1596650906
101,rawannawi,69.7,170.31,33.76,97,100,6.46,RU,1596650906
102,praia da vitoria,-0.6,73.08,82.58,73,100,13.47,MV,1596650740
103,albany,52.79,-6.14,63,84,64,8.77,IE,1596650907
104,tasiilaq,-21.36,55.77,66.2,77,71,4.7,RE,1596650752
105,lolua,55.34,-131.65,55.4,100,90,6.93,US,1596650908
106,constitucion,-26.82,-65.22,84.2,37,0,6.93,AR,1596650908
107,kefamenanu,45.02,-93.22,77,44,75,8.05,US,1596650712
108,kenora,46.62,10.7,69.01,52,5,4.7,IT,1596650909
109,bandar-e anzali,22.57,59.53,90.41,59,21,4.61,OM,1596650909
110,iquitos,42.25,-75.83,75.99,53,90,9.17,US,1596650909
111,karratha,37.1,-113.58,96.01,14,1,6.93,US,1596650784
112,aswan,-2.92,-39.92,86.05,48,0,17.25,BR,1596650788
113,dikson,59.64,-151.55,63,82,1,5.82,US,1596650910
114,caravelas,54.03,22.51,58.33,81,12,7.81,PL,1596650910
115,pevek,-20.52,57.52,68,72,40,11.41,MU,1596650652
116,hithadhoo,-33.02,27.91,60.73,84,97,15.84,ZA,1596650635
117,arklow,64.25,-15.21,51.8,93,90,12.75,IS,1596650869
118,saint-philippe,71.92,114.08,62.2,85,89,6.73,RU,1596650912
119,ketchikan,-8.76,-63.9,93.2,36,40,3.36,BR,1596650913
120,tucuman,5.38,-52.95,86.23,65,0,12.08,GF,1596650913
121,saint anthony,17.96,-102.2,87.44,61,53,4.72,MX,1596650914
122,lasa,62.27,24.7,64.4,67,76,5.82,FI,1596650914
123,sur,56.01,71.51,65.98,64,0,2.86,RU,1596650914
124,broome,68.75,161.3,41.59,92,100,6.24,RU,1596650915
125,saint george,-20.41,57.7,68,72,40,11.41,MU,1596650915
126,itarema,-23.7,133.88,51.8,100,40,4.7,AU,1596650635
127,homer,60.92,-46.05,51.8,62,75,6.93,GL,1596650620
128,olecko,-22.12,14.28,57,79,0,11.01,NA,1596650787
129,souillac,30.95,113.55,89.6,70,88,4.47,CN,1596650917
130,east london,49.75,-77.63,57.2,100,90,10.29,CA,1596650917
131,hofn,66.83,70.83,60.15,57,12,8.3,RU,1596650917
132,belushya guba,69.22,-51.1,41,86,90,3.36,GL,1596650765
133,saskylakh,-3.8,102.27,76.35,81,92,4.59,ID,1596650918
134,porto velho,50.68,156.12,50.76,92,100,10.71,RU,1596650918
135,sinnamary,3.78,98.68,78.8,100,40,3.83,ID,1596650918
136,lazaro cardenas,40.16,-8.33,86,37,0,7,PT,1596650919
137,keuruu,60.73,77.59,64.4,93,59,7.83,RU,1596650919
138,krutinka,-0.95,100.35,79.03,72,99,3.4,ID,1596650858
139,cherskiy,33.23,105.02,64.47,100,100,4.7,CN,1596650920
140,mahebourg,38.52,-28.7,77,57,40,13.87,PT,1596650920
141,alice springs,63.9,122.76,56.35,66,1,1.68,RU,1596650920
142,narsaq,54.81,105.16,58.5,68,47,2.73,RU,1596650921
143,henties bay,9.49,50.81,81.39,63,100,31.83,SO,1596650921
144,azimur,62.67,135.6,52.07,60,0,2.19,RU,1596650921
145,yingcheng,21.46,-71.14,87.8,70,40,9.17,TC,1596650921
146,matagami,35.55,133.23,75.2,94,40,4.7,JP,1596650922
147,yar-sale,34.67,138.95,72,90,4,5.23,JP,1596650922
148,ilulissat,77.48,-69.36,36.79,73,0,2.21,GL,1596650923
149,bengkulu,36.44,28.22,82.4,69,0,20.8,GR,1596650923
150,severo-kurilsk,19.17,83.42,76.89,89,100,1.79,IN,1596650923
151,belawan,11.66,-1.07,79.9,76,43,6.26,BF,1596650924
152,nguiu,62.23,-6.59,51.8,100,100,9.17,FO,1596650765
153,lata,38.42,-6.42,99,25,31,4,ES,1596650670
154,strezhevoy,63.75,-20.22,51.8,87,40,10.29,IS,1596650925
155,padang,-46.28,169.85,42.01,88,86,5.91,NZ,1596650925
156,moba,12.22,4.38,80.96,71,89,7.34,NG,1596650926
157,ribeira grande,13.22,-59.52,87.8,62,40,16.11,BB,1596650926
158,tabiauea,62.53,155.8,42.04,79,71,2.53,RU,1596650926
159,kysyl-syr,47.4,130.37,56.41,98,100,5.7,CN,1596650926
160,zhigalovo,42.82,27.88,77,73,20,13.87,BG,1596650927
161,bandarbeyla,-34.68,150.87,48.99,62,0,10,AU,1596650927
162,khandyga,20.89,-156.47,80.6,57,40,11.41,US,1596650927
163,cockburn town,-34.73,135.87,50.65,66,100,19.73,AU,1596650928
164,sakaiminato,53.05,158.65,51.8,100,90,4.47,RU,1596650928
165,shimoda,-24.32,-47,70.57,70,1,6.15,BR,1596650731
166,sorvag,45.06,-83.43,68,49,75,10.29,US,1596650928
167,qaanaaq,28.17,94.77,78.48,76,19,1.63,IN,1596650929
168,rodos,-45.87,-67.5,55.4,50,33,11.41,AR,1596650883
169,rayagada,-5.11,31.04,78.04,33,71,3.24,TZ,1596650930
170,manga,-33.7,-53.46,71.46,67,0,9.24,UY,1596650930
171,klaksvik,66.32,-179.17,38.73,88,100,6.69,RU,1596650930
172,amderma,-40.81,-63,62.01,54,29,11.01,AR,1596650879
173,zafra,33.07,107.03,77.14,82,100,1.05,CN,1596650931
174,hvolsvollur,-10.62,150.67,77.31,87,99,13.87,PG,1596650701
175,kaitangata,1.64,18.07,73.76,84,100,1.28,CG,1596650931
176,jega,-3.37,135.48,77.77,82,100,2.68,ID,1596650932
177,bathsheba,32,-102.08,96.8,23,1,8.05,US,1596650776
178,omsukchan,34.98,139.87,81,100,4,1.99,JP,1596650933
179,hegang,32.87,59.22,78.8,24,0,13.87,IR,1596650919
180,obzor,-25.4,-70.48,65.17,57,43,5.21,CL,1596650933
181,kiama,32.67,-17.1,75.2,69,40,11.41,PT,1596650933
182,kahului,64.38,-173.3,49.89,73,100,5.88,RU,1596650934
183,port lincoln,-23.49,-58.8,92.82,19,0,11.39,PY,1596650934
184,petropavlovsk-kamchatskiy,37.73,-25.67,75.2,83,40,12.75,PT,1596650698
185,peruibe,20.7,-105.2,88,70,40,8.05,MX,1596650819
186,alpena,5.41,100.34,84.2,88,20,4.7,MY,1596650935
187,along,-13.88,167.55,75.87,81,20,17.63,VU,1596650936
188,comodoro rivadavia,16.29,119.81,81.37,78,100,7.67,PH,1596650936
189,nguruka,46.43,26.4,66.99,75,1,4.25,RO,1596650936
190,chuy,16.33,-15,98.6,44,40,2.24,SN,1596650937
191,egvekinot,-0.19,-74.78,79.32,73,95,4.5,CO,1596650937
192,viedma,-32.03,-52.1,82.4,42,0,11.41,BR,1596650830
193,hanzhong,-8.16,-70.77,95.47,30,0,3.02,BR,1596650938
194,samarai,68.22,-135.01,50,93,90,4.7,CA,1596650672
195,impfondo,11.67,92.75,82.29,83,100,16.44,IN,1596650939
196,nabire,-23.53,148.17,53.6,76,3,4.7,AU,1596650939
197,barentsburg,-37.83,140.77,35.6,100,90,1.12,AU,1596650939
198,midland,-8.84,13.23,75.2,69,20,10.29,AO,1596650645
199,tateyama,-24.79,-50.01,72.68,36,0,3.47,BR,1596650791
200,birjand,69.49,88.4,62.6,67,100,6.71,RU,1596650940
201,taltal,9.23,29.83,71.8,95,92,5.19,SS,1596650940
202,ponta do sol,-2.95,12.73,70.38,76,37,3.15,CG,1596650941
203,provideniya,71.97,102.5,56.34,93,99,11.01,RU,1596650737
204,pozo colorado,-3.74,-38.65,84.2,51,1,13.87,BR,1596650942
205,ponta delgada,62.73,22.57,64.4,55,47,4.7,FI,1596650942
206,ixtapa,47.67,-52.73,72,56,20,3.36,CA,1596650713
207,georgetown,45.76,106.27,71.17,34,0,12.57,MN,1596650793
208,teneguiban,-29.95,-71.34,60.8,72,100,12.75,CL,1596650790
209,sola,56.34,114.88,58.1,90,100,2.42,RU,1596650943
210,catuday,43.04,74.71,78.8,39,20,13.42,KZ,1596650944
211,asau,66.8,65.81,58.32,75,41,3.67,RU,1596650816
212,saint-louis,66.04,-17.34,55.4,82,90,4.7,IS,1596650944
213,puerto leguizamo,33.67,-95.58,72,91,98,4.05,US,1596650761
214,bolungarvik,-10.27,40.18,72.77,82,0,11.01,TZ,1596650945
215,rio grande,-34.58,150.86,48.99,59,0,5.99,AU,1596650946
216,tarauaca,13.78,122.09,79.59,86,100,2.8,PH,1596650946
217,aklavik,-51.62,-69.22,44.6,80,55,12.75,AR,1596650789
218,port blair,34.77,32.42,80.6,88,20,10.29,CY,1596650946
219,emerald,32.69,128.84,82.17,82,39,18.5,JP,1596650947
220,mount gambier,52.42,136.49,49.37,93,100,9.69,RU,1596650947
221,luanda,70.47,-68.59,42.8,75,75,12.75,CA,1596650713
222,castro,29.56,103.76,79.52,91,100,2.84,CN,1596650948
223,talnakh,36.62,101.77,63.59,80,88,0.67,CN,1596650948
224,bentiu,-3.42,114.85,71.6,100,90,4.7,ID,1596650948
225,mossendjo,-0.91,122.88,76.55,85,91,4.21,ID,1596650949
226,khatanga,70.86,29.09,48.2,93,75,6.93,NO,1596650709
227,caucaia,-8.77,160.7,77.99,87,95,3.6,SB,1596650949
228,ilmajoki,-32.25,115.77,50,87,0,4.7,AU,1596650950
229,torbay,-2.57,150.8,80.96,83,100,16.04,PG,1596650950
230,mandalgovi,71.04,27.85,48.2,100,90,3.36,NO,1596650796
231,coquimbo,63.84,-22.43,50,93,75,19.46,IS,1596650684
