,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_speed,Country,Date
88,yumen,-20.23,164.02,71.31,65,3,3.27,NC,1596609363
89,ruatoria,22.68,-3.98,98.01,13,9,1.39,ML,1596609364
90,thompson,-33.7,-53.46,55.38,88,0,7.38,UY,1596609364
91,salalah,-33.92,25.57,50,87,75,6.93,ZA,1596609365
92,emerald,-21.53,-46.64,50.34,77,0,5.88,BR,1596609366
93,kibre mengist,41.28,-70.1,72,94,1,12.75,US,1596609146
94,les cayes,18.42,-64.62,82,85,100,8.99,VG,1596609366
95,poum,-34.73,135.87,51.44,58,20,20.47,AU,1596609365
96,taoudenni,11.59,37.39,63.55,85,100,2.39,ET,1596609367
97,chuy,53.41,-2.98,66.2,77,40,13.87,GB,1596609285
98,port elizabeth,-5.23,-75.68,70.81,78,27,1.86,PE,1596609367
99,caconde,47.47,84.87,86.86,23,4,11.27,KZ,1596609368
100,nantucket,4.14,96.13,86.04,61,100,4.63,ID,1596609368
101,road town,18.73,-103.68,78.55,87,34,2.68,MX,1596609368
102,port lincoln,19.73,-155.09,75.2,73,90,5.82,US,1596609261
103,bahir dar,-22.04,-63.68,68.99,44,0,7.16,BO,1596609369
104,liverpool,66.77,123.37,74.7,39,0,10.38,RU,1596609369
105,lagunas,27.2,60.68,102.2,13,0,4.7,IR,1596609370
106,zaysan,63.79,74.52,65.62,66,100,9.37,RU,1596609370
107,meulaboh,62.67,131.17,79.56,28,0,6.04,RU,1596609371
108,coahuayana,37.1,-113.58,84.99,16,1,6.93,US,1596609250
109,hilo,7.04,134.26,75.2,94,90,8.05,PW,1596609372
110,yacuiba,-15.86,-38.88,64.4,77,75,4.7,BR,1596609372
111,zhigansk,-3.67,152.43,82.36,78,90,9.51,PG,1596609373
112,iranshahr,40.8,-124.16,60.01,100,100,5.01,US,1596609188
113,muravlenko,64.38,-173.3,50,71,40,13.42,RU,1596609374
114,borogontsy,-2.87,-67.8,73.49,70,41,0.92,BR,1596609113
115,saint george,60.38,92.63,75.18,41,100,7.65,RU,1596609375
116,belushya guba,78.22,15.64,46.4,93,75,3.36,SJ,1596609375
117,kloulklubed,43.3,52.8,80.24,32,18,16.71,KZ,1596609376
118,belmonte,-42.78,147.06,45,74,97,5.01,AU,1596609376
119,attawapiskat,-1.77,-55.87,74.44,88,37,3.58,BR,1596609377
120,hihifo,-6.84,-79.93,58.82,92,5,9.93,PE,1596609377
121,namatanai,62.23,-6.59,53.6,100,100,10.29,FO,1596609377
122,eureka,-41.87,-73.82,39.99,100,40,8.05,CL,1596609378
123,provideniya,55.93,158.7,60.71,48,8,10.69,RU,1596609379
124,tonantins,-0.6,73.08,82.38,74,100,13.18,MV,1596609379
